discount_percentage,discount_price_dollar,discount_price_naira,manufacturer_name,original_price_dollar,original_price_naira,product_name,product_type,product_url,review_count,stars
,,,Hp,,580800,Hp EliteBook 840 G6 Intel Core I5  Touchscreen 8GB RAM/512GB SSD Win 11 Pro,laptop,,,3.5
16,,650000,Hp,,770900,Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,laptop,,,4.3
70,,2999999,Apple,,9999999,"Apple MacBook Pro 14.2"" 8‑core CPU/10‑core 8GB/1TB M3 Chip  - Silver 2023",laptop,,,
57,,1300999,Apple,,2999999,"Apple MacBook Air 13.3"" 8GB/256GB M1 - Space Grey",laptop,,,4.8
46,,3800999,Apple,,6999999,Apple MacBook Pro 14″ 18GB/1TB 18 Core M3 Pro Chip - Silver,laptop,,,
35,,6500999,Apple,,9999999,"Apple MacBook Pro 16.2"" 40 Core 48GB/1TB M3 Max - Black",laptop,,,
25,,2250999,Apple,,2999999,"Apple MacBook Air 15.3"" 8GB/ 256GB 10 Core M2 Chip - Space Grey",laptop,,,
70,,2999999,Apple,,9999999,"Apple MacBook Pro 14.2"" 8GB/1TB M3 Chip - Space Grey 2023",laptop,,,
36,,4500999,Apple,,6999999,"Apple MacBook Pro 16.2"" 18GB/ 512GB M3 Pro - Black 2023",laptop,,,5.0
32,,2040999,Apple,,2999999,"Apple MacBook Air 13.6"" 8GB /512GB M2 Chip - Midnight",laptop,,,
37,,4400999,Apple,,6999999,"Apple MacBook Pro 14.2"" M3 Pro 12C CPU/18C 18GB/1TB SSD - Black 2023",laptop,,,
33,,3350999,Apple,,4999999,"Apple MacBook Pro 14.2"" 18GB/512GB M3 Pro - Silver 2023",laptop,,,
42,,1750999,Apple,,2999999,"Apple MacBook Air 13.6"" 8GB/ 256GB M2 - Space Grey 2022",laptop,,,4.0
50,,2999999,Apple,,5999999,"Apple MacBook Air 15.3"" 16GB/ 512GB M3 Chip - Midnight 2024",laptop,,,
42,,1750999,Apple,,2999999,"Apple MacBook Air 13.6""  8GB/ 256GB M2 - Midnight 2022",laptop,,,
45,,3300999,Apple,,5999999,"Apple MacBook Pro 14.2"" 11 Core /14 Core 18GB/512GB M3 Pro - Black",laptop,,,
22,,4699999,Apple,,5999999,"Apple MacBook Pro 16.2"" 18 Core 36GB/512GB M3 Pro - Black",laptop,,,
42,,1750999,Apple,,2999999,"Apple MacBook Air 13.6"" 8GB/256GB M2 - Silver 2022",laptop,,,
12,,1321500,Hp,,1500000,Hp Elitebook 840 G8 11th Gen Core I7 16GB RAM/512 SSD Win 11 Pro + Bag,laptop,,,
57,,2599999,Apple,,5999999,"Apple MacBook Air 15.3"" 8GB/512GB M3 Chip - Midnight 2024",laptop,,,
,,,Hp,,1250000,Hp Envy 14 X360 13th Gen Intel Core I5 8GB RAM/512GB SSD Win 11,laptop,,,
,,,Hp,,689000,Hp 15 Touchscreen 11th Gen Intel Core I3 16GB RAM/256GB SSD Win 11+ Bag,laptop,,,5.0
50,,2999999,Apple,,5999999,"Apple MacBook Air 15.3"" 16GB/512GB SSD M3 Chip - Space Grey 2024",laptop,,,
14,,820600,Hp,,950000,Hp 15 Touchscreen 11th Gen Intel Core I5 12GB RAM/256GB SSD Win 11+ Mouse,laptop,,,
17,,1390500,Hp,,1679000,Hp 15 Victus Gaming 12th Gen Intel Core I5 8GB RAM/512GB SSD 4GB Nvidia RTX 2050 Win 11,laptop,,,4.3
57,,2599999,Apple,,5999999,"Apple MacBook Air 15.3"" 8GB/512GB M3 Chip - Starlight 2024",laptop,,,
57,,2599999,Apple,,5999999,"Apple MacBook Air 15.3"" 8GB/ 512GB SSD M3 Chip - Space Grey 2024",laptop,,,
,,,Hp,,840700,Hp 15 11th Gen Intel Core I5 8GB RAM/256GB SSD Win 11,laptop,,,
,,,Hp,,1650500,Hp Pavilion 14 X360 11th Gen Intel Core I7 16GB RAM/512 SSD Win 11,laptop,,,
,,,Hp,,1350000,Hp Pavilion 15 11th Gen Intel Core I7 16GB/ 512 SSD Win 11,laptop,,,
11,,600000,Hp,,675000,"Hp 15 12th Gen Intel Core I3 15.6"" 8GB RAM/256GB SSD FP Reader Win 11",laptop,,,
33,,1999999,Apple,,2999999,"Apple MacBook Air 13.6"" 8GB/512GB M2 - Space Grey 2022",laptop,,,
,,,Hp,,1140500,Hp Pavilion 15 10th Gen Core I5 12GB/512GB Win 10,laptop,,,5.0
13,,2500000,Hp,,2865000,"Hp Omen 16 Gaming 13th Gen Intel Core I7 16GB RAM/1TB SSD 16.1"" 6GB Nvidia RTX 4050 WINS 11",laptop,,,
